operation,language,kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
matmul,rust,tiled_matmul,349.724,2026-09-10T01:15:52.465096,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,350.147,2026-09-10T01:15:52.465103,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.749,2026-09-10T01:15:52.465111,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.814,2026-09-10T01:15:52.465118,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,347.87,2026-09-10T01:15:52.465126,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.944,2026-09-10T01:15:52.465133,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.887,2026-09-10T01:15:52.465141,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.554,2026-09-10T01:15:52.465252,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.748,2026-09-10T01:15:52.465262,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.748,2026-09-10T01:15:52.465270,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,351.643,2026-09-10T01:15:52.465278,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.757,2026-09-10T01:15:52.465285,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.204,2026-09-10T01:15:52.465292,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.976,2026-09-10T01:15:52.465300,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.749,2026-09-10T01:15:52.465307,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.106,2026-09-10T01:15:52.465314,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
